   surname    |  pos  | fast | group | prev  | next 
--------------+-------+------+-------+-------+------
Hamilton      | 1     | 305  | 1     | <nil> | HAM
Hamilton      | 1     | 320  | 1     | HAM   | HAM
Hamilton      | 1     | 319  | 1     | HAM   | HAM
Hamilton      | 1     | 318  | 1     | HAM   | HAM
Hamilton      | 1     | 317  | 1     | HAM   | HAM
Hamilton      | 1     | 316  | 1     | HAM   | HAM
Hamilton      | 1     | 315  | 1     | HAM   | HAM
Hamilton      | 1     | 314  | 1     | HAM   | HAM
Hamilton      | 1     | 313  | 1     | HAM   | HAM
Hamilton      | 1     | 312  | 1     | HAM   | HAM
Hamilton      | 1     | 311  | 1     | HAM   | HAM
Hamilton      | 1     | 310  | 1     | HAM   | HAM
Hamilton      | 1     | 309  | 1     | HAM   | HAM
Hamilton      | 1     | 308  | 1     | HAM   | HAM
Hamilton      | 1     | 307  | 1     | HAM   | HAM
Hamilton      | 1     | 306  | 1     | HAM   | RAI
Räikkönen     | 2     | 271  | 1     | HAM   | RAI
Räikkönen     | 2     | 258  | 1     | RAI   | RAI
Räikkönen     | 2     | 259  | 1     | RAI   | RAI
Räikkönen     | 2     | 260  | 1     | RAI   | RAI
Räikkönen     | 2     | 261  | 1     | RAI   | RAI
Räikkönen     | 2     | 262  | 1     | RAI   | RAI
Räikkönen     | 2     | 263  | 1     | RAI   | RAI
Räikkönen     | 2     | 264  | 1     | RAI   | RAI
Räikkönen     | 2     | 265  | 1     | RAI   | RAI
Räikkönen     | 2     | 266  | 1     | RAI   | RAI
Räikkönen     | 2     | 267  | 1     | RAI   | RAI
Räikkönen     | 2     | 268  | 1     | RAI   | RAI
Räikkönen     | 2     | 269  | 1     | RAI   | RAI
Räikkönen     | 2     | 270  | 1     | RAI   | RAI
Räikkönen     | 2     | 257  | 1     | RAI   | RAI
Räikkönen     | 2     | 272  | 1     | RAI   | VET
Vettel        | 3     | 323  | 1     | RAI   | VET
Vettel        | 3     | 336  | 1     | VET   | VET
Vettel        | 3     | 335  | 1     | VET   | VET
Vettel        | 3     | 334  | 1     | VET   | VET
Vettel        | 3     | 333  | 1     | VET   | VET
Vettel        | 3     | 332  | 1     | VET   | VET
Vettel        | 3     | 331  | 1     | VET   | VET
Vettel        | 3     | 330  | 1     | VET   | VET
Vettel        | 3     | 329  | 1     | VET   | VET
Vettel        | 3     | 328  | 1     | VET   | VET
Vettel        | 3     | 327  | 1     | VET   | VET
Vettel        | 3     | 326  | 1     | VET   | VET
Vettel        | 3     | 325  | 1     | VET   | VET
Vettel        | 3     | 324  | 1     | VET   | VET
Vettel        | 3     | 322  | 1     | VET   | VET
Vettel        | 3     | 321  | 1     | VET   | WEB
Webber        | 4     | 337  | 1     | VET   | WEB
Webber        | 4     | 338  | 1     | WEB   | WEB
Webber        | 4     | 339  | 1     | WEB   | WEB
Webber        | 4     | 340  | 1     | WEB   | WEB
Webber        | 4     | 341  | 1     | WEB   | WEB
Webber        | 4     | 342  | 1     | WEB   | WEB
Webber        | 4     | 343  | 1     | WEB   | WEB
Webber        | 4     | 344  | 1     | WEB   | WEB
Webber        | 4     | 345  | 1     | WEB   | WEB
Webber        | 4     | 346  | 1     | WEB   | WEB
Webber        | 4     | 347  | 1     | WEB   | WEB
Webber        | 4     | 348  | 1     | WEB   | WEB
Webber        | 4     | 349  | 1     | WEB   | WEB
Webber        | 4     | 350  | 1     | WEB   | WEB
Webber        | 4     | 351  | 1     | WEB   | WEB
Webber        | 4     | 352  | 1     | WEB   | ALO
Alonso        | 5     | 240  | 1     | WEB   | ALO
Alonso        | 5     | 225  | 1     | ALO   | ALO
Alonso        | 5     | 226  | 1     | ALO   | ALO
Alonso        | 5     | 227  | 1     | ALO   | ALO
Alonso        | 5     | 228  | 1     | ALO   | ALO
Alonso        | 5     | 229  | 1     | ALO   | ALO
Alonso        | 5     | 230  | 1     | ALO   | ALO
Alonso        | 5     | 231  | 1     | ALO   | ALO
Alonso        | 5     | 232  | 1     | ALO   | ALO
Alonso        | 5     | 233  | 1     | ALO   | ALO
Alonso        | 5     | 234  | 1     | ALO   | ALO
Alonso        | 5     | 235  | 1     | ALO   | ALO
Alonso        | 5     | 236  | 1     | ALO   | ALO
Alonso        | 5     | 237  | 1     | ALO   | ALO
Alonso        | 5     | 238  | 1     | ALO   | ALO
Alonso        | 5     | 239  | 1     | ALO   | GRO
Grosjean      | 6     | 247  | 1     | ALO   | GRO
Grosjean      | 6     | 256  | 1     | GRO   | GRO
Grosjean      | 6     | 255  | 1     | GRO   | GRO
Grosjean      | 6     | 254  | 1     | GRO   | GRO
Grosjean      | 6     | 253  | 1     | GRO   | GRO
Grosjean      | 6     | 252  | 1     | GRO   | GRO
Grosjean      | 6     | 251  | 1     | GRO   | GRO
Grosjean      | 6     | 250  | 1     | GRO   | GRO
Grosjean      | 6     | 249  | 1     | GRO   | GRO
Grosjean      | 6     | 248  | 1     | GRO   | GRO
Grosjean      | 6     | 246  | 1     | GRO   | GRO
Grosjean      | 6     | 245  | 1     | GRO   | GRO
Grosjean      | 6     | 244  | 1     | GRO   | GRO
Grosjean      | 6     | 243  | 1     | GRO   | GRO
Grosjean      | 6     | 242  | 1     | GRO   | GRO
Grosjean      | 6     | 241  | 1     | GRO   | BUT
Button        | 7     | 178  | 1     | GRO   | BUT
Button        | 7     | 179  | 1     | BUT   | BUT
Button        | 7     | 180  | 1     | BUT   | BUT
Button        | 7     | 181  | 1     | BUT   | BUT
Button        | 7     | 182  | 1     | BUT   | BUT
Button        | 7     | 183  | 1     | BUT   | BUT
Button        | 7     | 177  | 1     | BUT   | BUT
Button        | 7     | 184  | 1     | BUT   | BUT
Button        | 7     | 185  | 1     | BUT   | BUT
Button        | 7     | 186  | 1     | BUT   | BUT
Button        | 7     | 187  | 1     | BUT   | BUT
Button        | 7     | 188  | 1     | BUT   | BUT
Button        | 7     | 189  | 1     | BUT   | BUT
Button        | 7     | 190  | 1     | BUT   | BUT
Button        | 7     | 191  | 1     | BUT   | BUT
Button        | 7     | 192  | 1     | BUT   | MAS
Massa         | 8     | 284  | 1     | BUT   | MAS
Massa         | 8     | 273  | 1     | MAS   | MAS
Massa         | 8     | 274  | 1     | MAS   | MAS
Massa         | 8     | 275  | 1     | MAS   | MAS
Massa         | 8     | 276  | 1     | MAS   | MAS
Massa         | 8     | 277  | 1     | MAS   | MAS
Massa         | 8     | 278  | 2     | MAS   | MAS
Massa         | 8     | 279  | 2     | MAS   | MAS
Massa         | 8     | 280  | 2     | MAS   | MAS
Massa         | 8     | 281  | 2     | MAS   | MAS
Massa         | 8     | 282  | 2     | MAS   | MAS
Massa         | 8     | 283  | 2     | MAS   | MAS
Massa         | 8     | 285  | 2     | MAS   | MAS
Massa         | 8     | 286  | 2     | MAS   | MAS
Massa         | 8     | 287  | 2     | MAS   | MAS
Massa         | 8     | 288  | 2     | MAS   | PER
Pérez         | 9     | 193  | 2     | MAS   | PER
Pérez         | 9     | 194  | 2     | PER   | PER
Pérez         | 9     | 195  | 2     | PER   | PER
Pérez         | 9     | 196  | 2     | PER   | PER
Pérez         | 9     | 197  | 2     | PER   | PER
Pérez         | 9     | 198  | 2     | PER   | PER
Pérez         | 9     | 199  | 2     | PER   | PER
Pérez         | 9     | 200  | 2     | PER   | PER
Pérez         | 9     | 201  | 2     | PER   | PER
